AK-Logger v1.0
Datum: 1900-1-1

Timestamp;Temperature;Humidity;
10:38:16;27.73;60.19;
10:38:17;17.59;51.19;
10:38:18;27.67;35.81;
10:38:19;27.84;64.57;
10:38:20;20.86;50.24;
10:38:21;28.08;61.04;
10:38:22;19.80;51.39;
10:38:23;20.01;53.77;
10:38:24;15.38;43.76;
10:38:25;15.03;64.42;
10:38:26;27.60;48.46;
10:38:27;17.16;66.82;
10:38:28;23.73;70.00;
10:38:29;16.70;63.93;
10:38:30;28.09;50.83;
10:38:31;24.40;77.61;
10:38:32;25.59;51.77;
10:38:33;15.89;67.73;
10:38:34;20.59;60.78;
10:38:35;22.93;54.41;
10:38:36;26.74;74.02;
10:38:37;26.16;68.94;
10:38:38;28.33;46.46;
10:38:39;26.08;59.35;
10:38:40;19.85;74.84;
10:38:41;19.85;43.46;
10:38:42;23.88;36.47;
10:38:43;16.25;72.56;
10:38:44;26.10;34.89;
10:38:45;25.45;55.88;
10:38:46;16.70;60.13;
10:38:47;23.63;59.51;
10:38:48;25.15;31.02;
10:38:49;22.57;52.55;
10:38:50;17.65;72.55;
10:38:51;22.17;79.30;
10:38:52;18.38;45.49;
10:38:53;19.38;39.59;
10:38:54;25.62;71.64;
10:38:55;25.40;33.35;
10:38:56;16.08;74.32;
10:38:57;17.46;58.81;
10:38:58;20.79;55.79;
10:38:59;17.25;53.85;
10:39:0;20.26;45.63;
10:39:1;22.65;38.58;
10:39:2;21.41;50.35;
10:39:3;23.19;75.95;
10:39:4;26.81;71.23;
10:39:5;19.75;57.78;
10:39:6;16.11;40.24;
10:39:7;19.32;50.83;
10:39:8;28.16;50.20;
10:39:9;24.34;74.88;
10:39:10;17.83;57.08;
10:39:11;16.84;73.30;
10:39:12;23.56;39.33;
10:39:13;25.96;71.25;
10:39:14;22.17;35.46;
10:39:15;18.01;67.61;
10:39:16;19.10;58.13;
10:39:17;15.31;40.13;
10:39:18;18.51;60.69;
10:39:19;16.57;64.05;
10:39:20;24.35;48.09;
10:39:21;29.36;37.94;
10:39:22;20.35;36.63;
10:39:23;22.05;65.45;
10:39:24;24.12;47.59;
10:39:25;22.39;63.68;
10:39:26;21.05;41.13;
10:39:27;22.99;52.48;
10:39:28;19.09;36.96;
10:39:29;27.85;51.17;
10:39:30;28.01;33.32;
10:39:31;20.35;41.40;
10:39:32;25.11;52.07;
10:39:33;17.07;77.30;
10:39:34;29.86;37.95;
10:39:35;23.09;71.50;
10:39:36;23.03;39.10;
10:39:37;26.76;36.03;
10:39:38;16.80;53.24;
10:39:39;16.11;78.67;
